Wall time,Step,Value
1691387975.9544575,5285,0.9677734375
1691388135.8587942,5315,0.8193359375
1691388152.634819,5320,0.173828125
1691388196.2830307,5330,1.1015625
1691388245.262801,5340,0.310546875
1691388337.8858545,5360,0.392578125
1691389358.0589235,5380,0.8154296875
1691389397.5363953,5390,0.1611328125
1691389513.8351374,5415,0.4609375
1691389533.90382,5420,0.318359375
1691389562.4318237,5425,0.9921875
1691389755.6335437,5460,0.6435546875
1691389778.2277393,5465,0.2763671875
1691389935.2504992,5495,0.53515625
1691390896.4929414,5515,0.58203125
1691390915.5141754,5520,0.4228515625
1691390934.1760936,5525,0.3193359375
1691391152.4420662,5570,0.4228515625
1691391189.2087371,5580,0.6875
1691391255.9139578,5595,0.4423828125
1691392315.6103716,5625,0.4736328125
1691392343.8804383,5630,0.193359375
1691392459.8357959,5650,0.6552734375
1691392534.006099,5665,0.708984375
1691392594.18769,5675,0.3818359375
1691392970.4932923,5745,0.7490234375
1691393917.2835577,5760,0.470703125
1691393988.2864137,5775,0.642578125
1691394019.3004391,5780,0.6865234375
1691394048.9650755,5785,1.275390625
1691394126.223995,5800,0.302734375
1691394158.5495982,5805,0.6337890625
1691394184.9436357,5810,0.6513671875
1691395566.4284937,5900,0.58203125
1691395618.7385688,5910,0.3330078125
1691395643.0928614,5915,0.9951171875
1691395689.2609646,5925,0.462890625
1691395714.3182468,5930,0.2802734375
1691395856.2573712,5960,0.19140625
1691395879.890546,5965,0.5244140625
1691395922.8724337,5975,0.365234375
1691395984.6287515,5985,0.7900390625
1691396041.375354,5995,0.76953125
1691396957.0606694,6005,0.9326171875
1691397053.9381204,6020,0.6923828125
1691397115.0593402,6030,1.1474609375
1691397166.022703,6040,1.1728515625
1691397216.0150557,6050,0.4951171875
1691397264.645194,6060,1.23828125
1691397314.2054818,6070,0.755859375
1691397554.0413852,6120,0.27734375
1691398602.2696028,6140,0.3125
1691398680.8066785,6160,0.197265625
1691398701.9348915,6165,0.69140625
1691398732.2790117,6170,0.2958984375
1691398786.3368511,6180,0.1962890625
1691398846.291605,6195,0.3037109375
1691398917.046444,6210,0.8798828125
1691398972.3173082,6220,0.5009765625
1691399052.7961733,6235,0.4375
1691400084.3761146,6265,1.0869140625
1691400132.732401,6275,0.4072265625
1691400186.3784726,6285,0.322265625
1691400216.1247404,6290,0.37109375
1691400299.9475534,6305,1.33203125
1691400326.747398,6310,1.1953125
1691400354.536679,6315,0.4345703125
1691400417.0804772,6330,0.2978515625
1691400605.2342012,6370,0.2470703125
1691401608.2516632,6395,0.40234375
1691401658.110215,6405,0.5537109375
1691401786.1979237,6435,0.3583984375
1691401889.073019,6455,0.57421875
1691401911.1646595,6460,0.287109375
1691401935.3990731,6465,1.0068359375
1691401964.5166647,6470,1.3037109375
1691402989.5864112,6500,1.072265625
1691403069.5299878,6515,0.53125
1691403266.9505303,6550,0.8779296875
1691403318.255392,6560,0.2958984375
1691403408.565221,6575,0.9638671875
1691403434.3021724,6580,0.287109375
1691403516.2378345,6595,0.5283203125
1691404520.1032343,6625,0.59375
1691404572.9794261,6635,0.2099609375
1691404662.0560827,6650,0.2373046875
1691404714.6167321,6665,0.1630859375
1691404739.0859644,6670,0.8046875
1691404772.856908,6675,0.4775390625
1691404798.3448281,6680,0.912109375
1691404822.6656218,6685,0.3330078125
1691404986.3628561,6715,1.1748046875
1691405151.6861122,6745,0.42578125
1691406203.9534385,6775,0.4560546875
1691406365.0711858,6805,0.509765625
1691406516.3774266,6830,0.3056640625
1691406614.293121,6850,0.7666015625
1691407714.2729788,6885,0.578125
1691407760.99352,6895,0.671875
1691407831.2898426,6910,0.7080078125
1691407872.5310352,6920,0.2685546875
1691407905.2405417,6925,0.6826171875
1691407983.05458,6940,0.294921875
1691408007.7581,6945,0.9560546875
1691408053.9876285,6955,0.2998046875
1691408081.6151836,6960,0.34765625
1691408159.5986402,6975,0.9990234375
1691409527.5136716,7060,0.8740234375
1691409560.4587827,7065,0.916015625
1691409586.7331064,7070,0.8759765625
1691409732.80865,7095,0.94140625
1691409826.9236803,7110,2.21875
1691410782.646456,7130,0.5830078125
1691410805.396579,7135,0.2109375
1691410834.5793805,7140,0.673828125
1691410943.5781083,7160,0.62109375
1691410974.3843954,7165,0.93359375
1691410996.105817,7170,0.181640625
1691411047.8501532,7180,0.4560546875
1691411094.8397467,7190,0.38671875
1691411135.322382,7200,1.3974609375
1691411187.0259678,7210,0.21484375
1691412196.6578164,7250,0.82421875
1691412297.4747386,7275,0.4189453125
1691412322.2490256,7280,0.2509765625
1691412513.8425288,7325,0.521484375
1691412528.105408,7330,0.1962890625
1691413617.2238836,7385,0.1435546875
1691413817.1960602,7425,0.1787109375
1691413846.0469491,7430,0.283203125
1691413909.0981877,7445,0.48046875
1691413956.1267912,7455,0.4912109375
1691413983.7741501,7460,0.4658203125
1691415050.2632709,7500,0.205078125
1691415078.6539845,7505,0.8046875
1691415111.036446,7510,0.912109375
1691415144.6075532,7515,0.888671875
1691415225.3834448,7530,1.03125
1691415275.853672,7540,0.8486328125
1691415307.1027641,7545,0.4697265625
1691415333.0775836,7550,0.8115234375
1691415557.6851766,7590,0.2138671875
1691415695.7828448,7615,1.298828125
1691415728.7686195,7620,0.857421875
1691416690.6108022,7635,1.189453125
1691416922.583791,7670,0.9384765625
1691416980.8456495,7680,0.533203125
1691417247.9815576,7730,0.3251953125
1691418254.5163782,7755,0.947265625
1691418287.3196666,7760,0.580078125
1691418344.7564797,7770,0.650390625
1691418368.7063634,7775,0.3671875
1691418518.6184242,7805,0.900390625
1691418723.1730962,7840,0.3037109375
1691418746.8919003,7845,0.708984375
1691419861.2229524,7890,0.330078125
1691419956.0896435,7910,0.73046875
1691419999.3157198,7920,0.1259765625
1691420080.5014665,7940,0.2255859375
1691420309.2438405,7985,0.9228515625
1691420367.0284915,7995,0.8447265625
1691421300.4483678,8010,0.5751953125
1691421345.1857057,8020,0.6689453125
1691421365.6490095,8025,0.18359375
1691421483.3985379,8050,0.7392578125
1691421559.5258427,8065,0.7177734375
1691421674.2089095,8090,0.28125
1691421733.9309273,8100,0.697265625
1691422737.3892317,8130,0.4599609375
1691422757.3428805,8135,0.3974609375
1691422782.0901506,8140,0.47265625
1691422860.1109042,8160,0.4580078125
1691422955.071218,8185,0.21484375
1691423031.0240016,8200,0.7587890625
1691423075.838496,8210,0.453125
1691423135.145239,8225,0.48828125
1691423197.8495314,8240,0.9794921875
1691424142.6674533,8260,0.3388671875
1691424329.5091786,8295,0.6474609375
1691424342.2986927,8300,0.1728515625
1691424366.0386355,8305,0.4111328125
1691424517.1235473,8340,0.7216796875
1691424557.3099897,8350,0.6708984375
1691424593.0803661,8360,0.2666015625
1691425503.4427836,8375,0.1787109375
1691425527.7006304,8380,0.7939453125
1691425654.3423824,8410,0.439453125
1691425675.4376826,8415,0.126953125
1691425852.9612355,8455,0.37109375
1691425907.6117642,8470,0.5205078125
1691425922.2022514,8475,0.177734375
1691425940.3277643,8480,0.119140625
1691425950.5984569,8485,0.1240234375
1691425989.7244554,8495,0.10546875
1691426981.7030423,8510,0.232421875
1691427128.8342288,8545,0.21875
1691427144.6432686,8550,0.2900390625
1691427254.0239367,8575,0.376953125
1691427300.2082808,8585,0.419921875
1691427319.0919576,8590,0.330078125
1691427334.9767506,8595,0.166015625
1691428362.912163,8640,0.7158203125
1691428445.6520534,8660,0.189453125
1691428487.1305377,8670,0.220703125
1691428506.9949305,8675,0.189453125
1691428548.4463217,8685,1.1181640625
1691428639.1553435,8710,0.8017578125
1691428666.677601,8715,0.5888671875
1691428717.4036615,8725,0.5205078125
1691428737.301079,8730,0.2392578125
1691428765.1951325,8735,0.3837890625
1691429681.308979,8750,0.2490234375
1691429718.3339972,8760,0.1513671875
1691429757.4397166,8770,0.52734375
1691429951.82511,8815,0.46484375
1691430019.1147566,8830,0.2890625
1691431051.404856,8875,0.654296875
1691431204.5878065,8905,0.548828125
1691431234.8461049,8910,0.4697265625
1691431381.604309,8940,0.212890625
1691431406.303745,8945,0.765625
1691431429.3576474,8950,0.3173828125
1691431462.172864,8960,0.185546875
1691431563.5518856,8990,0.18359375
1691432543.9750097,9020,0.2021484375
1691432563.4576657,9025,0.4287109375
1691432748.9195156,9065,0.744140625
1691432773.1731286,9070,0.359375
1691432844.206211,9085,0.46484375
1691432912.3146071,9100,0.1328125
1691433026.3413813,9120,0.3994140625
1691433936.2640045,9130,0.2587890625
1691434051.9738932,9150,0.59765625
1691434174.793084,9180,0.146484375
1691434245.6647136,9200,0.2041015625
1691434266.1731856,9205,0.248046875
1691434322.5864463,9220,0.224609375
1691434454.332652,9245,0.9794921875
1691435399.457061,9265,0.591796875
1691435439.2163785,9275,0.525390625
1691435498.074001,9285,1.8125
1691435557.2619154,9295,0.9599609375
1691435763.025607,9330,0.3037109375
1691435821.1561239,9340,0.7421875
1691435840.4084516,9345,0.20703125
1691436836.733215,9375,0.5478515625
1691436866.739938,9380,0.1875
1691436883.1489751,9385,0.2529296875
1691436938.8574767,9395,1.25
1691436975.3753765,9405,0.166015625
1691437348.643668,9465,0.2236328125
1691438488.2742808,9510,1.091796875
1691438621.3315024,9530,1.9814453125
1691438777.1522326,9555,0.796875
1691438806.1514704,9560,1.1728515625
1691438938.5075312,9585,0.6240234375
1691438970.8400433,9590,1.37109375
1691439000.5012631,9595,0.8994140625
1691439107.1991544,9615,0.8740234375
1691439130.1506307,9620,0.478515625
1691440138.8767765,9650,0.1708984375
1691440248.4937117,9670,0.46875
1691440280.1048481,9675,0.435546875
1691440312.6962035,9680,0.5341796875
1691440364.1965384,9690,0.408203125
1691440396.6683886,9695,0.5009765625
1691440517.9794047,9720,0.359375
1691440593.6620793,9735,0.4921875
1691440646.8778665,9745,0.5380859375
1691441553.612594,9760,0.1650390625
1691441616.9438758,9775,0.14453125
1691441679.940252,9790,0.541015625
1691441714.6348295,9800,0.14453125
1691441893.2424867,9835,0.669921875
1691441946.48226,9845,0.20703125
1691442005.9565568,9855,0.408203125
1691443084.344779,9900,0.181640625
1691443108.0912352,9905,0.4091796875
1691443119.2385273,9910,0.30078125
1691443141.2013874,9915,0.2724609375
1691443433.7151818,9985,0.380859375
1691444393.3527637,10005,0.287109375
1691444509.6184487,10025,0.970703125
1691444523.9534523,10030,0.1611328125
1691444598.815075,10045,0.40234375
1691444624.4702249,10050,0.1943359375
1691444692.283939,10065,0.2646484375
1691444736.2563753,10075,0.63671875
1691444774.600581,10085,0.1015625
1691444873.1979856,10110,0.2001953125
1691445799.32159,10125,0.17578125
1691445856.7299075,10135,0.291015625
1691445889.8696177,10140,0.7109375
